abandoned,Forladt jernbane
aerodrome,Lufthavn
alcohol,Vinhandel
allotments,Kolonihave
alpine_hut,Alpehytte
apartments,Boligblok
apparel,Tøjbutik
archaeological_site,Arkæologiske område
art,Kunsthandel
arts_centre,Kunstcenter
arts_centre,Kunstcenter
artwork,Kunstværk
atm,Hæveautomat
atm,Hæveautomat
atm,Hæveautomat
attraction,Attraktion
auditorium,Auditorium
bakery,Bager
bank,Bank
bar,Bar
bar,Pub
basin,Bassin
battlefield,Slagmark
bay,Bugt
beach,Strand
beach_resort,Strad resort
beauty,Skønhedssalon
bed_and_breakfast,Bed and Breakfast
bench,Bænk
beverages,Drikkevarebutik
bicycle,Cykelforretning
bicycle_parking,Cykelparkering
bicycle_rental,Cykeludlejning
block,Byggesten
boatyard,Værft
books,Boghandel
boundary_stone,Grænsesten
bridleway,Ridesti
brothel,Bordel
brownfield,Brakjord
building,Bygning
bunker,Bunker
bureau_de_change,Vekselkontor
bus_guideway,Busspor
bus_station,Busstation
bus_stop,Busstoppested
butcher,Slagter
byway,Sidevej
cabin,Hytte
cafe,Café
camp_site,Campingplads
canal,Kanal
cape,Kap
car,Bilforhandler
car_dealer,Bilforhandler
car_parts,Autoreservedele
car_rental,Biludlejning
car_repair,Autoværksted
car_sharing,Delebil
car_sharing,Delebiler
car_wash,Bilvask
caravan_site,campingvognsplads
carpet,Tæppeforretning
casino,Casino
castle,Slot
cave_entrance,Hule indgang
cemetery,Kirkegård
chalet,Udlejningshytte
channel,Kanal
chapel,Kapel
charity,Genbrugsbutik
chemist,Apotek
church,Kirke
cinema,Biograf
city,By
city_hall,Rådhus
cliff,Klippe
clinic,Klinik
clothes,Tøjbutik
club,Klub
coastline,Kystlinje
college,Gymnasium
commercial,Kommercielt område
commercial,Erhvervsbyggeri
common,Fælles jord
community_centre,Medborgerhus
community_centre,Medborgerhus
computer,Computerbutik
confectionery,Konfektureforretning
connector,Vandvejsforbindelse
conservation,Naturbevarelse
construction,Byggeri
construction,Motorvej under opførelse
construction,Jernbane under opførelsen
convenience,Nærbutik
copyshop,Kopicenter
cosmetics,Kosmetikforretning
country,Land
county,Kommune
courthouse,Retsbygning
crater,Krater
crematorium,Krematorium
cycleway,Cykelsti
dam,Dam
dentist,Tandlæge
department_store,Stormagasin
derelict_canal,Forladt kanal
discount,Discountbutik
distance_marker,Kilometersten
disused,Nedlagt jernbane
disused_station,Nedlagt jernbanestation
ditch,Grøft
dock,Dok
doctors,Læge
doityourself,Gør-det-selv
dormitory,Sovesal
drain,Dræn
drinking_water,Drikkevand
driving_school,Køreskole
drugstore,Apotek
dry_cleaning,Renseri
electronics,Elektronik butik
embassy,Ambassade
emergency_access_point,Nødstilfælde punkt
emergency_phone,Nødtelefon
entrance,Indgang
estate_agent,Ejendomsmægler
faculty,Fakultetsbygning
farm,Gård
farm,Landbrugsbygning
farm,Gårdbutik
farmland,Landbrugsjord
farmyard,Gårdsplads
fashion,Modebutik
fast_food,Fast Food
fast_food,Fødevarer
feature,Funktion
fell,Fjeld
ferry_terminal,Færgeterminal
fire_hydrant,Brandhane
fire_station,Brandstation
fish,Fiskehandler
fishing,Fiskeriområde
fjord,Fjord
flats,Lejligheder
florist,Blomsterhandler
food,Købmand
footway,Gangsti
ford,Vadested
forest,Skov
fountain,Springvand
fuel,Brændstof
fuel,Tankstation
fuel,Brændstof
fuel,Benzintank
fuel,Benzin
fuel,Benzintank
funeral_directors,Bedemand
funicular,Kabelbane
furniture,Møbler
gallery,Galleri
garage,Garage
garden,Have
garden_centre,Havecenter
garden_centre,Havecentre
gate,Port
general,Supermarked
geyser,Gejser
gift,Gavebutik
glacier,Gletscher
golf_course,Golfbane
grass,Græs
grave_yard,Kirkegård
greenfield,Byggemodning
greengrocer,Grønthandler
grocery,Købmandsbutik
guest_house,Pensionat
gym,Trænings-og motionscenter
gym,Trænings-og motionscentre
gym,Gymnastiksal
hackerspace,Hackerspace
hairdresser,Frisør
hall,Hal
halt,Trinbrædt
hamlet,Landsby
hardware,Isenkræmmer
