
aerodrome,Airport
arts_centre,Arts Centre
arts_centre,Arts Center
atm,ATM
atm,cash
atm,cash machine
auditorium,Auditorium
bank,Bank
bar,Bar
pub,Bar
bench,Bench
bicycle_parking,Cycle Parking
bicycle_rental,Cycle Rental
brothel,Brothel
bureau_de_change,Bureau de Change
bus_station,Bus Station
cafe,Cafe
car_rental,Car Rental
car_sharing,Car Share
car_sharing,Car Sharing
car_wash,Car Wash
casino,Casino
cinema,Cinema
clinic,Clinic
club,Club
college,College
community_centre,Community Centre
community_centre,Community Center
courthouse,Courthouse
crematorium,Crematorium
dentist,Dentist
doctors,Doctor
dormitory,Dormitory
drinking_water,Drinking Water
driving_school,Driving School
embassy,Embassy
emergency_phone,Emergency Phone
fast_food,Fast Food
restaurant,Food
fast_food,Food
ferry_terminal,Ferry Terminal
fire_hydrant,Fire Hydrant
fire_station,Fire Station
fountain,Fountain
fuel,Fuel
fuel,Fuel Station
fuel,Gas
fuel,Gas Station
fuel,Petrol
fuel,Petrol Station
grave_yard,Grave Yard
gym,Fitness Centre
gym,Fitness Center
gym,Gym
hall,Hall
health_centre,Health Centre
health_centre,Health Center
hospital,Hospital
hotel,Hotel
hunting_stand,Hunting Stand
ice_cream,Ice Cream
kindergarten,Kindergarten
library,Library
market,Market
marketplace,Marketplace
mountain_rescue,Mountain Rescue
nightclub,Night Club
nightclub,Night Clubs
nursery,Nursery
nursery,Nurserys
nursery,Nurseries
nursing_home,Nursing Home
nursing_home,Nursing Homes
office,Office
park,Park
parking,Parking
pharmacy,Pharmacy
place_of_worship,Church
place_of_worship,Place of Worship
police,Police
post_box,Post Box
post_office,Post Office
preschool,Pre-School
prison,Prison
bar,Pub
pub,Pub
public_building,Public Building
public_market,Public Market
reception_area,Reception Area
recycling,Recycling Point
restaurant,Restaurant
retirement_home,Retirement Home
sauna,Sauna
school,School
shelter,Shelter
shop,Shop
shopping,Shopping
social_club,Social Club
studio,Studio
supermarket,Supermarket
taxi,Taxi
taxi,Taxi Rank
telephone,Telephone
telephone,Public Telephone
telephone,Phone Booth
theatre,Theatre
toilets,Toilet
townhall,Town Hall
university,University
vending_machine,Vending Machine
veterinary,Veterinary Surgery
village_hall,Village Hall
waste_basket,Waste Basket
waste_basket,Rubbish Bin
waste_basket,Bin
wifi,WiFi Access
wifi,WiFi
wifi,WiFi Point
youth_centre,Youth Centre
youth_centre,Youth Center
apartments,Apartment Block
block,Building Block
bunker,Bunker
chapel,Chapel
church,Church
city_hall,City Hall
commercial,Commercial Building
dormitory,Dormitory
entrance,Building Entrance
faculty,Faculty Building
farm,Farm Building
flats,Flats
garage,Garage
hall,Hall
hospital,Hospital Building
hotel,Hotel
house,House
industrial,Industrial Building
office,Office Building
public,Public Building
residential,Residential Building
retail,Retail Building
