
aerodrome,Lentokenttä
arts_centre,Taidekeskus
atm,Pankkiautomaatti
auditorium,Auditorio
bank,Pankki
bench,Penkki
bicycle_parking,Pyöräparkki
bicycle_rental,Pyörävuokraamo
brothel,Bordelli
bureau_de_change,Rahanvaihto
bus_station,Linja-autoasema
cafe,Kahvila
car_rental,Autovuokraamo
car_wash,Autopesu
casino,Kasino
cinema,Elokuvateatteri
clinic,Klinikka
courthouse,Oikeustalo
crematorium,Krematorio
dentist,Hammaslääkäri
doctors,Lääkäri
drinking_water,Juomavesi
embassy,Lähetystö
emergency_phone,Hätäpuhelin
fast_food,Pikaruoka
ferry_terminal,Lauttaterminaali
fire_hydrant,Paloposti
fire_station,Paloasema
fountain,Lähde
fuel,Bensa-asema
grave_yard,Hautausmaa
gym,Liikuntakeskus / kuntosali
health_centre,Terveyskeskus
hospital,Sairaala
hotel,Hotelli
hunting_stand,Metsästyslava
ice_cream,Jäätelö
kindergarten,Päiväkoti
library,Kirjasto
marketplace,Tori
nightclub,Yökerho
office,Toimisto
park,Puisto
parking,Parkkipaikka
pharmacy,Apteekki
police,Poliisi
police,Poliisiasema
post_box,Kirjelaatikko
post_box,Postilaatikko
post_office,Postitoimisto
preschool,Esikoulu
prison,Vankila
pub,Pubi
public_building,Julkinen rakennus
reception_area,Vastaanottoalue
recycling,Kierrätyspaikka
restaurant,Ravintola
retirement_home,Vanhainkoti
sauna,Sauna
school,Koulu
shop,Kauppa
shopping,Kauppa
studio,Studio
supermarket,Supermarketti
taxi,Taksi
telephone,Puhelinkoppi
theatre,Teatteri
toilets,WC
toilets,Vessa
townhall,Kaupungintalo
university,Yliopisto
vending_machine,Myyntiautomaatti
veterinary,Eläinlääkäri
waste_basket,Roskakori
wifi,Langaton lähiverkko
youth_centre,Nuorisokeskus
youth_centre,Nuorisokeskukset
administrative,Hallinnollinen raja
apartments,Talo
bunker,Bunkkeri
church,Kirkko
flats,Kerrostalo
garage,Autotalli
hospital,Sairaalarakennus
hotel,Hotelli
house,Talo
office,Toimistorakennus
public,Julkinen rakennus
residential,Asuinrakennus
school,Koulurakennus
shop,Kauppa
stadium,Stadion
terrace,Rivitalo
tower,Torni
train_station,Rautatieasema
university,Yliopistorakennus
&quot;yes&quot;,Rakennus
bus_stop,Bussipysäkki
byway,Sivutie
construction,Rakenteilla oleva tie
cycleway,Pyörätie
distance_marker,Etäisyysmerkki
footway,Polku
footway,Jalkakäytävä
footway,Kävelytie
gate,Portti
living_street,Asuinkatu
motorway,Moottoritie
motorway_junction,Liittymä
motorway_junction,Moottoritien liittymä
motorway_link,Moottoritie
path,Polku
pedestrian,Kävelykatu
primary,Kantatie
primary_link,Kantatie
raceway,Kilparata
residential,Asuinkatu
road,Tie
secondary,Seututie
secondary_link,Seututie
steps,Portaat
tertiary,Yhdystie
track,Metsätie
trunk,Valtatie
trunk_link,Valtatie
unsurfaced,Päällystämätön tie
battlefield,Taistelukenttä
building,Rakennus
castle,Linna
church,Kirkko
mine,Kaivos
monument,Muistomerkki
museum,Museo
ruins,Rauniot
tower,Torni
wreck,Hylky
cemetery,Hautausmaa
commercial,Kaupallinen alue
construction,Rakennustyömaa
forest,Metsä
grass,Nurmikko
grass,Nurmikot
industrial,Teollisuusalue
landfill,Kaatopaikka
meadow,Niitty
meadow,Niityt
military,Sotilasalue
mine,Kaivos
mountain,Vuori
park,Puisto
quarry,Avolouhos
railway,Rautatie
residential,Asuinalue
wetland,Kosteikko
wood,Metsä
fishing,Kalastusalue
garden,Puutarha
