
aerodrome,Аеродром
arts_centre,Дом на уметности
atm,Банкомат
auditorium,Аудиториум
bank,Банка
bar,Бар
bench,Клупа
bicycle_parking,Велосипедско паркирање
bicycle_rental,Изнајмување велосипеди
brothel,Бордел
bureau_de_change,Менувачница
bus_station,Автобуска станица
cafe,Кафуле
car_rental,Рент-а-кар
car_sharing,Изнајмување автомобил
car_wash,Автоперална
casino,Казино
cinema,Кино
clinic,Клиника
club,Клуб
college,Колеџ
community_centre,Центар на заедница
courthouse,Суд
crematorium,Крематориум
dentist,Забар
doctors,Доктори
dormitory,Студентски дом
drinking_water,Питка вода
driving_school,Автошкола
embassy,Амбасада
emergency_phone,Итен телефон
fast_food,Брза храна
ferry_terminal,Ферибот-терминал
fire_hydrant,Противпожарен хидрант
fire_station,Пожарна
fountain,Фонтана
fuel,Гориво
grave_yard,Гробишта
gym,Теретана / фитнес
hall,Соборна сала
health_centre,Здравствен центар
hospital,Болница
hotel,Хотел
hunting_stand,Ловечка кула
ice_cream,Сладолед
kindergarten,Градинка
library,Библиотека
market,Пазар
marketplace,Пазар
mountain_rescue,Планинарско спасување
nightclub,Ноќен клуб
nursery,Јасли
nursing_home,Старечки дом
office,Канцеларија
park,Парк
parking,Паркинг
pharmacy,Аптека
place_of_worship,Верски објект
police,Полиција
post_box,Поштенско сандаче
post_office,Пошта
preschool,Претшколска установа
prison,Затвор
pub,Пивница
public_building,Јавен објект
public_market,Градски пазар
reception_area,Рецепција
recycling,Рециклирање
restaurant,Ресторан
retirement_home,Старечки дом
sauna,Сауна
school,Училиште
shelter,Засолниште
shop,Дуќан
shopping,Дуќани
social_club,Друштвен клуб
studio,Студио
supermarket,Супермаркет
taxi,Такси
telephone,Телефонска говорница
theatre,Театар
toilets,Тоалет
townhall,Градски дом
university,Универзитет
vending_machine,Вендинг-машина
veterinary,Ветеринарна клиника
village_hall,Месна заедница
waste_basket,Корпа за отпадоци
wifi,Безжичен интернет
youth_centre,Младински центар
administrative,Административна граница
apartments,Станбен блок
block,Блок згради
bunker,Бункер
chapel,Капела
church,Црква
city_hall,Градски дом
commercial,Комерцијална зграда
dormitory,Студентски дом
entrance,Влез во зграда
faculty,Факултетски објект
farm,Земјоделски објект
flats,Станови
garage,Гаража
hall,Сала
hospital,Болничка зграда
hotel,Хотел
house,Куќа
industrial,Индустриски објект
office,Деловна зграда
public,Јавен објект
residential,Станбена зграда
retail,Продажен објект
school,Школско здание
shop,Дуќан
stadium,Стадион
store,Продавница
terrace,Тераса
tower,Кула
train_station,Железничка станица
university,Универзитетска зграда
&quot;yes&quot;,Зграда
bridleway,Коњски пат
bus_guideway,Автобуски шини
bus_stop,Автобуска постојка
byway,Спореден пат
construction,Автопат во изградба
cycleway,Велосипедска патека
distance_marker,Бележник на растојание
emergency_access_point,Прва помош
footway,Тротоар
ford,Брод
gate,Порта
living_street,Маалска улица
minor,Помал спореден пат
motorway,Автопат
motorway_junction,Клучка
motorway_link,Приклучен пат
path,Патека
pedestrian,Пешачка патека
platform,Платформа
primary,Главен пат
primary_link,Главен пат
raceway,Тркачка патека
residential,Станбен
road,Пат
secondary,Спореден пат
secondary_link,Спореден пат
service,Помошен пат
services,Крајпатен сервис
steps,Скалила
stile,Тарабен премин
tertiary,Третостепен пат
track,Полски пат
