
aerodrome,Luchthaven
arts_centre,Kunstcollectief
atm,Geldautomaat
auditorium,Auditorium
bank,Bank
bar,Bar
bench,Bankje
bicycle_parking,Fietsenstalling
bicycle_rental,Fietsverhuur
brothel,Bordeel
bureau_de_change,Wisselkantoor
bus_station,Busstation
cafe,Café
car_rental,Autoverhuur
car_sharing,Autodelen
car_sharing,carpooling
car_wash,carwash
car_wash,Autowasstraat
casino,Casino
cinema,Bioscoop
cinema,Cinema
clinic,Kliniek
club,Club
college,Hogeschool
community_centre,Gemeenschapscentrum
courthouse,Rechtbank
crematorium,Crematorium
dentist,Tandarts
doctors,Dokter
dormitory,Studentenhuis
drinking_water,Drinkwater
driving_school,Rijschool
embassy,Ambassade
emergency_phone,Noodtelefoon
emergency_phone,Noodtelefoons
fast_food,Fast food
ferry_terminal,Veerterminal
fire_hydrant,Brandkraan
fire_station,Brandweer
fountain,Fontein
fuel,Brandstof
fuel,Benzine pomp
grave_yard,Begraafplaats
gym,Fitnesscentrum
hall,Hal
health_centre,Gezondheidscentrum
hospital,Ziekenhuis
hotel,Hotel
hunting_stand,Jachttoren
ice_cream,IJs
kindergarten,Kleuterschool
library,Bibliotheek
market,Markt
marketplace,Marktplein
marketplace,Markt
mountain_rescue,Reddingsdienst
nightclub,Nachtclub
nightclub,Nachtclubs
nightclub,Discotheek
nightclub,Disco
nursing_home,Verpleeghuis
nursing_home,RVT
nursing_home,Rusthuis
office,Kantoor
park,Park
parking,Parkeren
parking,Parking
pharmacy,Apotheek
place_of_worship,Gebedsplaats
police,Politie
post_box,Brievenbus
post_office,Postkantoor
preschool,Peuterspeelzaal
preschool,Kleuterschool
prison,Gevangenis
pub,Café
public_building,Openbaar gebouw
public_market,Openbare markt
reception_area,Receptie
recycling,Recyclingpunt
recycling,Recyclage
restaurant,Restaurant
retirement_home,Bejaardentehuis
retirement_home,Rusthuis
sauna,Sauna
school,School
shelter,Beschutting
shop,Winkel
shopping,Winkelen
studio,Eenkamerappartement
studio,Studio
supermarket,Supermarkt
taxi,Taxi
telephone,Openbare telefoon
theatre,Theater
toilets,Toilet
townhall,Gemeentehuis
university,Universiteit
vending_machine,Automaat
veterinary,Dierenarts
village_hall,Gemeentehuis
waste_basket,Vuilbak
wifi,Wifi-toegang
wifi,Wifi
youth_centre,Jeugdcentrum
administrative,Administratieve grens
apartments,Appartement
bunker,Bunker
chapel,Kapel
church,Kerk
city_hall,Gemeentehuis
commercial,Commercieel gebouw
dormitory,Studentenhuis
entrance,Ingang
faculty,Faculteitsgebouw
farm,Boerderij
flats,Flat
garage,Garage
hall,Hal
hospital,Ziekenhuis
hotel,Hotel
house,Huis
industrial,Industrieel gebouw
office,Kantoorgebouw
public,Openbaar gebouw
retail,Winkelpand
school,Schoolgebouw
shop,Winkel
stadium,Stadion
store,Winkel
tower,Toren
train_station,Spoorwegstation
university,Universiteitsgebouw
&quot;yes&quot;,Gebouw
bridleway,Ruiterpad
bus_guideway,Busbaan
bus_stop,Bushalte
byway,Onverharde weg
construction,Snelweg in aanbouw
cycleway,Fietspad
distance_marker,Afstandsmarkering
emergency_access_point,Noodafslag
emergency_access_point,Noodafslagen
footway,Voetpad
ford,Voorde
gate,Slagboom
living_street,Woonerf
minor,Lokale weg
motorway,Autosnelweg
motorway_junction,Afrit
path,Pad
pedestrian,Voetgangerszone
platform,Perron
primary,Primaire weg
primary_link,Primaire weg
raceway,Racecircuit
residential,Straat
road,Weg
road,Straat
secondary,Secundaire weg
secondary_link,Secundaire weg
service,Serviceweg
steps,Trap
stile,Overstap
tertiary,Tertiaire weg
track,Pad
track,Slag
trail,Pad
trunk,Autoweg
trunk_link,Autoweg
unclassified,Landweg
unsurfaced,Onverharde weg
archaeological_site,Archeologische site
battlefield,Slagveld
boundary_stone,Grenspaal
building,Historisch Gebouw
castle,Kasteel
church,Kerk
house,Huis
icon,Icoon
manor,Landgoed
memorial,Monument
mine,Mijn
monument,Monoment
monument,Groot Monoment
museum,Museum
ruins,Ruïne
tower,Toren
wayside_cross,Kruis
wayside_shrine,Altaar
wreck,Wrak
allotments,Volkstuinen
basin,Waterbekken
brownfield,Braakliggend terrein
cemetery,Begraafplaats
commercial,Commercieel gebied
conservation,Natuurbehoud
conservation,Natuurbehoud
construction,In aanbouw
farm,Boerderij
farmland,Landbouwgrond
farmyard,Boerenerf
forest,Bos
grass,Grasland
greenfield,Stadsgroen
industrial,Industrieel gebied
landfill,Stortplaats
meadow,Weide
military,Miltair gebied
mine,Mijn
mountain,Berg
nature_reserve,Natuurreservaat
nature_reserve,Natuurreservaten
park,Park
piste,Piste
plaza,Plein
quarry,Steengroeve
railway,Spoor
recreation_ground,Recreatiegebied
reservoir,Reservoir
residential,Woonwijk
retail,Winkels
