abandoned,Dawna linia kolejowa
administrative,Granica administracyjna
aerodrome,Lotnisko
alcohol,Sklep monopolowy
allotments,Ogródki działkowe
alpine_hut,Chata Alpejska
apartments,Blok mieszkalny
apparel,Sklep odzieżowy
archaeological_site,Wykopaliska archeologiczne
art,Sklep z dziełami sztuki
arts_centre,Centrum sztuki
artwork,Sztuka
atm,Bankomat
attraction,Atrakcja turystyczna
auditorium,Audytorium
bakery,Piekarnia
bank,Bank
bar,Bar
basin,Dorzecze
battlefield,Miejsce historycznej bitwy
bay,Zatoka
beach,Plaża
beach_resort,Strzeżona plaża
beauty,Salon kosmetyczny
bed_and_breakfast,Łóżko i Śniadanie
bench,Ławka
beverages,Sklep z napojami
bicycle,Sklep rowerowy
bicycle_parking,Parking rowerowy
bicycle_rental,Wypożyczalnia rowerów
block,Budynek bloku
boatyard,Stocznia
books,Księgarnia
boundary_stone,Kamień graniczny
bridleway,Droga dla koni
brothel,Dom publiczny
brownfield,Grunty poprzemysłowe
building,Budynek
bunker,Bunkier
bureau_de_change,Kantor
bus_guideway,Droga dla autobusów
bus_station,Stacja autobusowa
bus_stop,Przystanek autobusowy
butcher,Rzeźnik
byway,Boczna droga
cabin,Kabina
cafe,Kawiarnia
camp_site,Miejsce na kamping
canal,Kanał
cape,Przylądek
car,Sklep samochodowy
car_dealer,Salon samochodowy
car_parts,Sklep z częściami samochodowymi
car_rental,Wynajem samochodów
car_repair,Naprawa samochodów
car_sharing,Car-sharing
car_wash,Myjnia samochodowa
caravan_site,Miejsce na przyczepę campingową
carpet,Sklep z dywanami
casino,Kasyno
castle,Zamek
cave_entrance,Wejście do jaskini
cemetery,Cmentarz
chalet,Schronisko
channel,Kanał
chapel,Kaplica
charity,Sklep miłosny
chemist,Drogeria
church,Kościół
cinema,Kino
city,Miasto
city_hall,Ratusz
cliff,Urwisko
clinic,Przychodnia
clothes,Sklep odzieżowy
club,Klub
coastline,Linia brzegowa
college,Uczelnia
commercial,Budynek handlowy
common,Błonie
community_centre,Centrum społeczności
computer,Sklep komputerowy
confectionery,Cukiernia
connector,Złącze dróg wodnych
conservation,Ochrona przyrody
construction,W budowie
convenience,Sklep osiedlowy
copyshop,Ksero
cosmetics,Sklep kosmetyczny
country,Kraj
county,Powiat
courthouse,Sąd
crater,Krater
crematorium,Krematorium
cycleway,Ścieżka rowerowa
dam,Tama
dentist,Gabinet dentystyczny
department_store,Dom towarowy
derelict_canal,Opuszczony kanał
discount,Sklep z produktami po obniżce
distance_marker,Znak odległości
disused,Nieczynna trasa kolejowa
disused_station,Nieużywana stacja kolejowa
ditch,Rów
dock,Basen portowy
doctors,Przychodnia
doityourself,Sklep budowlany
dormitory,Bursa
drain,Rów odpływowy
drinking_water,Źródło wody pitnej
driving_school,Nauka jazdy
drugstore,Apteka
dry_cleaning,Pralnia chemiczna
electronics,Sklep elektroniczny
embassy,Ambasada
emergency_access_point,Punkt awaryjny
emergency_phone,Telefon alarmowy
entrance,Wejście do budynku
estate_agent,Biuro nieruchomości
faculty,Budynek prawny
farm,Budynek gospodarczy
farm,Farma
farm,Sklep gospodarski
farmland,Grunty rolne
farmyard,Podwórze gospodarskie
fashion,Sklep modelarski
fast_food,Fast Food
feature,Obiekt
fell,Hale górskie
ferry_terminal,Terminal promowy
fire_hydrant,Hydrant
fire_station,Remiza strażacka
fish,Sklep rybny
fishing,Łowisko
fjord,Fiord
flats,Mieszkania
florist,Kwiaciarnia
food,Sklep spożywczy
footway,Chodnik
ford,Bród
forest,Las
fountain,Fontanna
fuel,Stacja benzynowa
funeral_directors,Zakłady pogrzebowe
funicular,Kolejka linowa
furniture,Sklep meblowy
gallery,Galeria
garage,Garaż
garden,Ogród
garden_centre,Centrum ogrodnicze
gate,Bramka
general,Sklep ogólny
geyser,Gejzer
gift,Sklep z pamiątkami
glacier,Lodowiec
golf_course,Pole golfowe
grass,Trawa
grave_yard,Mniejszy cmentarz
greenfield,Tereny niezagospodarowane
greengrocer,Warzywniak
grocery,Sklep spożywczy
guest_house,Pensjonat
gym,Centrum Fitness / Sala Gimnastyczna
hairdresser,Fryzjernia
hall,Hala
halt,Przystanek kolejowy
hamlet,Osada
hardware,Sklep ze sprzętem
health_centre,Ośrodek zdrowia
heath,Wrzosowisko
hifi,Hi-Fi
hill,Wzgórze
historic_station,Historyczna stacja kolejowa
hospital,Budynek szpitala
hospital,Szpital
hostel,Hostel
hotel,Hotel
house,Dom
houses,Zabudowanie
hunting_stand,Ambona myśliwska
ice_cream,Lodziarnia
ice_rink,Lodowisko
icon,Ikona
industrial,Budynek przemysłowy
industrial,Teren przemysłowy
information,Informacja turystyczna
insurance,Ubezpieczenie
island,Wyspa
islet,Wysepka
jewelry,Sklep z biżuterią
junction,Węzeł Kolejowy
kindergarten,Przedszkole
kiosk,Kiosk
land,Ląd
landfill,Wysypisko śmieci
laundry,Pralnia
lean_to,Wiata
level_crossing,Przejazd kolejowy
library,Biblioteka
light_rail,Lekka kolej
living_street,Strefa zamieszkania
locality,Rejon
lock,Zastawka
lock_gate,Śluza
mall,Centrum handlowe
manor,Dwór
marina,Marina
market,Targowisko
marketplace,Plac targowy
marsh,Bagno
meadow,Łąka
memorial,Mniejszy pomnik
military,Teren wojskowy
mine,Kopalnia
mineral_spring,Źródło mineralne
miniature_golf,Pole do minigolfa
minor,Drobna droga
mobile_phone,Sklep z telefonami komórkowymi
monorail,Kolej jednoszynowa
monument,Pomnik
moor,Torfowisko
mooring,Kotwicowisko
motel,Motel
motorcycle,Sklep z motocyklami
motorway,Autostrada
motorway_junction,Węzeł autostradowy
motorway_link,Dojazd do autostrady
mountain,Góra
mountain_rescue,Ratownictwo górskie
mud,Muł
municipality,Gmina
museum,Muzeum
music,Sklep muzyczny
narrow_gauge,Kolej wąskotorowa
nature_reserve,Rezerwat naturalny
nature_reserve,Rezerwat przyrody
newsagent,Kiosk
nightclub,Klub nocny
nursery,Żłobek
nursing_home,Dom opieki
office,Biuro
office,Budynek biurowy
optician,Optyk
organic,Sklep z produktami organicznymi
outdoor,Sklep na wolnym powietrzu
park,Park
parking,Parking
path,Ścieżka
peak,Szczyt
pedestrian,Droga dla pieszych
pet,Sklep ze zwierzątkami
pharmacy,Apteka
photo,Sklep fotograficzny
picnic_site,Miejsce na piknik
piste,Trasa
pitch,Boisko sportowe
place_of_worship,Miejsce kultu
platform,Peron
platform,Podwyższenie
playground,Plac zabaw
plaza,Plac
point,Punkt
police,Policja
post_box,Skrzynka pocztowa
post_office,Poczta
postcode,Kod pocztowy
preschool,Przedszkole
preserved,Kolej zabytkowa
primary,Droga krajowa
primary_link,Dojazd do drogi krajowej
prison,Więzienie
pub,Pub
public,Budynek publiczny
public_building,Budynek publiczny
public_market,Rynek publiczny
quarry,Kamieniołom
raceway,Tor wyścigowy
railway,Teren kolejowy
rapids,Katarakty
reception_area,Recepcja
recreation_ground,Pole rekreacyjne
recreation_ground,Teren rekreacyjny
recycling,Miejsce recyklingu
reef,Rafa
region,Rejon
reservoir,Sztuczny zbiornik wodny
residential,Budynek mieszkalny
residential,Droga osiedlowa
residential,Zabudowa mieszkaniowa
restaurant,Restauracja
retail,Budynek detaliczny
retail,Handel detaliczny
retirement_home,Dom starców
ridge,Grzbiet
river,Rzeka
riverbank,Brzeg rzeki
road,Droga
rock,Skała
ruins,Ruiny
salon,Salon
sauna,Sauna
school,Budynek szkoły
school,Szkoła
scree,Zsypisko
scrub,Zagajnik
sea,Morze
secondary,Droga wojewódzka
secondary_link,Dojazd do drogi wojewódzkiej
service,Droga dojazdowa
services,Miejsce obsługi podróżnych
shelter,Schron
shoal,Mielizna
shoes,Sklep obuwniczy
shop,Sklep
shopping,Zakupy
shopping_centre,Centrum handlowe
slipway,Pochylnia
social_club,Klub towarzyski
sports,Sklep sportowy
sports_centre,Centrum sportu
spring,Źródło
spur,Bocznica kolejowa
stadium,Stadion
state,Stan
station,Stacja kolejowa
stationery,Sklep papierniczy
steps,Schody
stile,Przełaz
store,Składnica
strait,Cieśnina
stream,Strumień
studio,Studio
subdivision,Dzielnica
suburb,Osiedle
subway,Stacja metra
subway_entrance,Wejście na stację metra
supermarket,Supermarket
swimming_pool,Basen
switch,Zwrotnica
taxi,Postój taksówek
telephone,Budka telefoniczna
terrace,Taras
tertiary,Droga powiatowa
theatre,Teatr
theme_park,Park tematyczny
toilets,Toaleta publiczna
tower,Wieża
town,Miasteczko
townhall,Urząd miejski
toys,Sklep zabawkowy
track,Bieżnia
track,Droga gruntowa
trail,Szlak
train_station,Stacja kolejowa
tram,Linia tramwajowa
tram_stop,Przystanek tramwajowy
travel_agency,Biuro podróży
tree,Drzewo
trunk,Droga ekspresowa
trunk_link,Dojazd do drogi ekspresowej
unclassified,Droga gminna
unincorporated_area,Obszar bez osobowości prawnej
university,Budynek uniwersytetu
university,Uniwersytet
unsurfaced,Nierówna droga
valley,Dolina
vending_machine,Automat do sprzedaży
veterinary,Weterynarz
video,Sklep filmowy
viewpoint,Punkt widokowy
village,Wieś
village_green,Zieleń wiejska
village_hall,Urząd gminy
vineyard,Winnica
volcano,Wulkan
wadi,Starorzecze
waste_basket,Kosz na śmieci
water,Woda
water_park,Park wodny
water_point,Punkt wodny
waterfall,Wodospad
wayside_cross,Przydrożny krzyż
wayside_shrine,Przydrożna kaplica
weir,Jaz
wetland,Obszar podmokły
wetland,Tereny podmokłe
wetlands,Obszary podmokłe
wifi,Dostęp do Wi-Fi
wine,Winiarnia
wood,Puszcza
wreck,Wrak
yard,Bocznica kolejowa
yes,Budynek
youth_centre,Centrum młodzieżowe
zoo,Zoo
