
aerodrome,Letališèe
arts_centre,Arts Centre
arts_centre,Arts Center
atm,bankomat
auditorium,Avditorij
bank,Banka
bar,Bar
pub,Pivnica
bench,klopca
bicycle_parking,Parkirišèe koles
bicycle_rental,Najem koles
brothel,Brothel
bureau_de_change,Menjalnica
bus_station,Avtobusna postaja
cafe,Kavarna
car_rental,Najem avtomobilov
car_sharing,Car Sharing
car_wash,Avtopralnica
casino,Casino
cinema,Kino
clinic,Klinika
club,Club
college,College
community_centre,Community Centre
community_centre,Community Center
courthouse,Courthouse
crematorium,Krematorij
dentist,Zobozdravnik
doctors,Zdravnik
dormitory,Dormitory
drinking_water,Pitna voda
driving_school,Avtošola
embassy,Ambasada
emergency_phone,Emergency Phone
fast_food,Hitra prehrana
restaurant,Restavracija
ferry_terminal,Trajektni terminal
fire_hydrant,Požarni hidrant
fire_station,Gasilski dom
fountain,Fontana
fuel,Bencinska èrpalka
fuel,Gorivo
grave_yard,Pokopališèe
gym,Telovadnica
hall,Dvorana
health_centre,Zdravstveni dom
hospital,Bolnica
hospital,Bolnišnica
hotel,Hotel
hunting_stand,Lovska preža
ice_cream,Sladoled
kindergarten,Vrtec
library,Knjižnica
market,Market
marketplace,Marketplace
mountain_rescue,Mountain Rescue
nightclub,Night Club
nightclub,Night Clubs
nursery,Nursery
nursery,Nurserys
nursery,Nurseries
nursing_home,Nursing Home
nursing_home,Nursing Homes
office,Pisarna
park,Park
parking,Parkirišèe
pharmacy,Lekarna
place_of_worship,Cerkev
police,Policija
post_box,Poštni nabiralnik
post_office,Pošta
preschool,Pre-School
prison,Zapor
public_building,Public Building
public_market,Public Market
reception_area,Reception Area
recycling,Recycling Point
restaurant,Restaurant
retirement_home,Retirement Home
sauna,Savna
school,Šola
shelter,Shelter
shop,Trgovina
shopping,Shopping
social_club,Social Club
studio,Studio
supermarket,Supermarket
taxi,Taxi
telephone,Telefon
theatre,Gledališèe
toilets,Stranišèe
townhall,Mestna hiša
university,Univerza
vending_machine,Prodajni avtomat
veterinary,Veterinarska klinika
village_hall,Village Hall
waste_basket,Smeti
waste_basket,Koš za smeti
waste_basket,Smetnjak
wifi,WiFi dostop
wifi,WiFi
youth_centre,Mladinski center
apartments,Stanovanjski blok
block,Blok
bunker,Bunker
chapel,Kapelica
church,Cerkev
city_hall,Mestna hiša
commercial,Commercial Building
dormitory,Dormitory
entrance,vhod v stavbo
entrance,vhod
faculty,Fakulteta
farm,Kmetija
flats,Stanovanja
garage,Garage
house,Hiša
industrial,Proizvodni objekt
office,Office Building
public,Javni objekt
residential,Stanovanjski objekt
retail,Trgovski objekt
school,Šolski objekt
stadium,Stadion
store,Trgovina
terrace,Terrace
tower,Stolp
train_station,Postaja
train_station,Železniška postaja
university,Univerza
yes,Stavba
